"code","name","region","is_friendly"
"PR","Пуэрто-Рико","Лат. Америка",1
"CG","Республика Конго","Африка",1
"RE","Реюньон","Прочее",1
"RU","Россия","Азия",1
"RW","Руанда","Африка",1
"RO","Румыния","Европа",0
"SV","Сальвадор","Лат. Америка",1
"WS","Самоа","Африка",1
"SM","Сан-Марино","Европа",0
"ST","Сан-Томе и Принсипи","Прочее",1
"SA","Саудовская Аравия","Сев. Африка и Ближний Восток",1
"KP","Северная Корея","Азия",1
"MK","Северная Македония","Европа",0
"MP","Северные Марианские острова","Прочее",1
"SC","Сейшелы","Африка",1
"BL","Сен-Бартелеми","Прочее",1
"SN","Сенегал","Африка",1
"SX","Сен-Мартен","Прочее",1
"PM","Сен-Пьер и Микелон","Прочее",1
"VC","Сент-Винсент и Гренадины","Прочее",1
"KN","Сент-Китс и Невис","Прочее",1
"LC","Сент-Люсия","Прочее",1
"RS","Сербия","Европа",1
"SG","Сингапур","Юго-Восточная Азия",0
"MF","Синт-Мартен","Прочее",1
"SY","Сирия","Азия",1
"SK","Словакия","Европа",0
"SI","Словения","Европа",0
"US","Соединенные Штаты","Прочее",0
"SB","Соломоновы острова","Прочее",1
"SOСОМАЛИ","Сомали","Африка",1
,"Страны ЕС","Европа",1
"SD","Судан","Африка",1
"SR","Суринам","Лат. Америка",1
"SL","Сьерра-Леоне","Африка",1
"TJ","Таджикистан","СНГ",1
"TH","Таиланд","Юго-Восточная Азия",1
"TW","Тайвань","Азия",0
"TZ","Танзания","Африка",1
"TG","Того","Африка",1
"TK","Токелау","Прочее",1
"TO","Тонга","Прочее",1
"TT","Тринидад и Тобаго","Африка",1
"TV","Тувалу","Прочее",1
"TN","Тунис","Сев. Африка и Ближний Восток",1
"TM","Туркменистан","СНГ",1
"TR","Турция","Азия",1
"UG","Уганда","Африка",1
"UZ","Узбекистан","СНГ",1
"UA","Украина","Азия",0
"WF","Уоллис и Футуна","Прочее",1
"UY","Уругвай","Лат. Америка",1
"FO","Фарерские острова","Прочее",1
"FJ","Фиджи","Прочее",1
"PGH","Филиппины","Юго-Восточная Азия",1
"FI","Финляндия","Европа",0
"FK","Фолклендские (Мальвинские) острова","Прочее",1
"FR","Франция","Европа",0
"GF","Французская Гвиана","Европа",1
"PF","Французская Полинезия","Прочее",1
"TF","Французские Южные и Антарктические территории","Прочее",1
"HR","Хорватия","Европа",0
"СА","Центральноафриканская Республика","Африка",1
"TD","Чад","Африка",1
"ME","Черногория","Европа",0
"CZ","Чехия","Европа",0
"CL","Чили","Лат. Америка",1
"CH","Швейцария","Европа",0
"SE","Швеция","Европа",0
"SJ","Шпицберген","Прочее",1
"LK","Шри-Ланка","Азия",1
"EC","Эквадор","Лат. Америка",1
"GQ","Экваториальная Гвинея","Африка",1
"ER","Эритрея","Африка",1
"SZ","Эсватини","Прочее",1
"EE","Эстония","Европа",0
"ET","Эфиопия","Африка",1
"ZA","Южная Африка","Африка",1
"GS","Южная Георгия и Южные Сандвичевы острова","Прочее",1
"KR","Южная Корея","Азия",0
"OS","Южная Осетия","Азия",1
"SS","Южный Судан","Африка",1
"JM","Ямайка","Прочее",1
"JP","Япония","Азия",0
"EU","Евросоюз","Европа",0
"ZZ","Неопределенная территория","Прочее",1
